;symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count;base;quot
97;STORJETH;-0.00000920;-1.224;0.00075269;0.00075460;0.00074250;28.00000000;0.00074080;53.00000000;0.00074500;16.00000000;0.00075170;0.00076440;0.00073650;45232.00000000;34.04549410;1578136911812;1578223311812;934878;935230;353;STORJ;ETH
98;BNBUSDT;0.23740000;1.722;13.87033033;13.77520000;14.02300000;7.13000000;14.02270000;55.64000000;14.02330000;99.25000000;13.78560000;14.12000000;13.63140000;1156778.86000000;16044904.90596300;1578137299984;1578223699984;44959649;44991988;32340;BNB;USDT
99;VENBNB;0.00000000;0;0;0.14920000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532690;1576068932690;-1;-1;0;VEN;BNB
100;YOYOBNB;-0.00001700;-2.182;0.00076304;0.00077900;0.00076200;134.00000000;0.00075200;154634.00000000;0.00076200;19.00000000;0.00077900;0.00079500;0.00074200;79454.00000000;60.62658100;1578136768787;1578223168787;754030;754198;169;YOYO;BNB
101;POWRBNB;-0.00009000;-3.321;0.00265875;0.00268000;0.00262000;7829.50000000;0.00262000;102.00000000;0.00265000;24246.80000000;0.00271000;0.00275000;0.00262000;81052.50000000;215.49827000;1578137264590;1578223664590;481576;481676;101;POWR;BNB
102;VENBTC;0.00000000;0;0;0.00013928;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532702;1576068932702;-1;-1;0;VEN;BTC
103;VENETH;0.00000000;0;0;0.00325194;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532703;1576068932703;-1;-1;0;VEN;ETH
104;KMDBTC;0.00000420;5.714;0.00007683;0.00007350;0.00007770;18.27000000;0.00007760;777.20000000;0.00007790;29.14000000;0.00007350;0.00008030;0.00007290;1827333.87000000;140.39519714;1578137248156;1578223648156;6624332;6636096;11765;KMD;BTC
105;KMDETH;0.00023800;5.913;0.00420447;0.00402500;0.00426300;18.27000000;0.00425700;460.00000000;0.00429300;3.53000000;0.00402500;0.00439600;0.00400900;123554.73000000;519.48197758;1578137248323;1578223648323;1177151;1180453;3303;KMD;ETH
106;NULSBNB;0.00014000;0.844;0.01663005;0.01658000;0.01672000;6.80000000;0.01667000;9.00000000;0.01688000;186.50000000;0.01658000;0.01707000;0.01646000;28047.60000000;466.43302800;1578137299636;1578223699636;581230;581412;183;NULS;BNB
107;RCNBTC;0.00000004;0.647;0.00000624;0.00000618;0.00000622;1341.00000000;0.00000621;7444.00000000;0.00000625;4854.00000000;0.00000618;0.00000634;0.00000614;950292.00000000;5.93354193;1578137220127;1578223620127;6099881;6100764;884;RCN;BTC
108;RCNETH;0.00000071;0.208;0.00034199;0.00033837;0.00034152;142.00000000;0.00034152;71.00000000;0.00034441;160.00000000;0.00034081;0.00034783;0.00033771;72093.00000000;24.65531468;1578135881253;1578222281253;1144510;1144722;213;RCN;ETH
109;RCNBNB;0.00003200;0.976;0.00333930;0.00328000;0.00331200;94.00000000;0.00329600;80.00000000;0.00332000;36.00000000;0.00328000;0.00338500;0.00326700;30458.00000000;101.70850500;1578137221960;1578223621960;518224;518405;182;RCN;BNB
