date;symbol_x;quot;base;side;price;target;closed;id;symbol_y;bidPrice;askPrice;profit_in_%;profit_in_$
2020-01-03 18:28:08+00:00;BTC_GNT;BTC;GNT;buy;3.95e-06;4.01e-06;False;78321;GNTBTC;3.81e-06;3.83e-06;-3.544303797468359;-0.3544303797468359
2020-01-03 15:28:07+00:00;BTC_DCR;BTC;DCR;buy;0.002357;0.00239236;False;78301;DCRBTC;0.002388;0.002393;1.3152312261349124;0.13152312261349125
2020-01-03 15:02:35+00:00;BNB_CELR;BNB;CELR;buy;0.000263;0.00026695;False;78298;CELRBNB;0.0002509;0.0002532;-4.600760456273761;-0.46007604562737614
2020-01-03 13:54:38+00:00;ETH_RCN;ETH;RCN;buy;0.0003624;0.00036784;False;78293;RCNETH;0.00034152;0.00034441;-5.761589403973517;-0.5761589403973517
2020-01-03 13:54:35+00:00;BTC_NAS;BTC;NAS;buy;4.9700000000000015e-05;5.045e-05;False;78292;NASBTC;4.94e-05;4.97e-05;-0.603621730382315;-0.060362173038231506
2019-12-30 02:03:21+00:00;BTC_NAS;BTC;NAS;buy;5.14e-05;5.218e-05;False;76461;NASBTC;4.94e-05;4.97e-05;-3.891050583657588;-0.3891050583657588
2020-01-03 13:50:34+00:00;BNB_REN;BNB;REN;buy;0.002778;0.00281968;False;78291;RENBNB;0.002505;0.002522;-9.827213822894166;-0.9827213822894165
2020-01-03 13:37:04+00:00;USDT_KEY;USDT;KEY;buy;0.001703;0.00172855;False;78284;KEYUSDT;0.001657;0.001666;-2.7011156782149044;-0.27011156782149043
2019-12-30 07:45:07+00:00;USDT_KEY;USDT;KEY;buy;0.001745;0.00177118;False;76637;KEYUSDT;0.001657;0.001666;-5.042979942693421;-0.5042979942693421
2020-01-03 13:36:35+00:00;ETH_VIBE;ETH;VIBE;buy;9.95e-05;0.000101;False;78281;VIBEETH;9.5e-05;9.56e-05;-4.522613065326624;-0.4522613065326624
2020-01-03 13:26:35+00:00;BTC_POE;BTC;POE;buy;2.3e-07;2.4e-07;False;78277;POEBTC;2.1e-07;2.2e-07;-8.695652173913032;-0.8695652173913032
2020-01-03 13:21:06+00:00;BNB_NEBL;BNB;NEBL;buy;0.0303;0.0307545;False;78255;NEBLBNB;0.02926;0.02972;-3.43234323432344;-0.343234323432344
2020-01-03 13:13:39+00:00;USDT_HC;USDT;HC;buy;1.082;1.09823001;False;78272;HCUSDT;1.0627;1.0667;-1.7837338262477118;-0.17837338262477118
